Age,Department,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Attrition
44,Other,10,40,4,Male,3,2,4,Married,7,Yes,3,9,4,4,2,1,0
30,Other,9,41,4,Male,2,1,3,Single,1,No,3,10,3,10,0,1,0
39,Sales,5,42,4,Male,3,2,4,Married,1,No,3,19,4,1,0,0,1
24,Other,1,45,2,Male,3,1,4,Married,1,Yes,3,6,2,2,0,2,1
43,Other,2,46,4,Female,4,1,3,Divorced,2,No,3,6,2,5,3,1,0
50,Sales,3,47,1,Male,2,1,3,Married,2,Yes,3,3,3,3,2,0,1
35,Sales,2,49,4,Female,3,1,4,Married,1,No,3,2,3,2,2,2,0
36,Other,5,51,2,Female,2,1,1,Married,4,Yes,3,6,4,1,1,0,0
33,Sales,1,52,3,Female,4,2,1,Married,6,No,3,10,3,5,3,1,0
35,Other,4,53,3,Male,3,1,4,Divorced,1,No,3,1,3,1,0,0,0
27,Other,2,54,4,Female,3,1,1,Divorced,2,No,3,1,3,1,0,0,0
26,Other,25,55,1,Male,1,1,3,Single,1,No,3,1,2,1,0,0,1
27,Sales,8,56,4,Male,3,3,3,Single,8,No,3,9,3,9,8,1,0
30,Other,1,57,3,Female,3,2,4,Single,4,No,4,12,3,12,8,3,0
41,Other,12,58,2,Female,3,5,3,Married,10,No,3,23,3,22,15,15,1
34,Sales,23,60,2,Male,3,2,3,Single,5,No,4,10,3,9,5,8,0
37,Other,19,61,2,Male,3,1,2,Married,3,No,4,8,3,1,0,0,0
46,Sales,5,62,1,Male,3,2,4,Single,7,Yes,4,14,3,9,6,0,0
35,Other,8,63,4,Male,4,1,4,Married,1,No,3,1,3,1,0,0,0
48,Other,1,64,1,Male,2,3,3,Single,6,Yes,3,23,3,1,0,0,1
28,Other,5,65,3,Male,3,1,3,Single,4,Yes,3,2,2,2,2,2,1
44,Sales,1,68,2,Female,3,2,1,Divorced,6,Yes,4,9,2,4,3,1,0
35,Other,11,70,3,Male,2,3,1,Married,9,Yes,3,10,3,4,0,2,0
26,Sales,23,72,3,Female,2,2,4,Married,4,Yes,3,5,2,2,2,0,0
33,Other,1,73,1,Female,3,3,4,Single,9,Yes,3,15,3,15,14,8,0
35,Sales,18,74,2,Male,3,3,1,Married,8,No,4,9,2,9,8,1,0
35,Other,23,75,3,Female,3,1,1,Married,4,Yes,3,4,3,2,2,2,0
31,Other,7,76,4,Male,3,2,4,Divorced,7,No,4,10,2,7,7,1,0
37,Other,1,77,1,Male,2,2,3,Divorced,7,No,3,7,4,7,5,0,0
32,Other,1,78,1,Male,3,2,4,Married,7,Yes,4,9,3,9,8,7,0
38,Other,29,79,4,Female,3,2,4,Single,2,No,3,10,3,10,3,9,0
50,Other,7,80,2,Female,2,5,3,Divorced,10,Yes,3,29,2,27,3,13,0
59,Sales,25,81,1,Female,3,3,1,Single,8,No,3,28,2,21,16,7,0
36,Other,8,83,3,Female,3,3,3,Divorced,9,No,3,17,3,17,14,12,0
55,Other,8,84,4,Female,3,4,3,Divorced,10,Yes,3,21,3,5,0,0,0
36,Other,11,85,2,Male,2,2,2,Single,7,No,3,6,3,6,5,0,0
45,Other,7,86,2,Male,3,3,1,Divorced,8,No,3,25,3,1,0,0,0
35,Other,1,88,2,Male,3,1,1,Married,1,No,3,5,2,3,2,1,0
36,Other,9,90,4,Male,2,1,3,Married,4,Yes,3,2,2,1,0,0,1
59,Sales,1,91,1,Female,2,2,3,Single,6,No,3,20,2,4,3,1,0
29,Other,2,94,3,Male,3,1,2,Married,3,No,4,6,3,5,4,0,0
31,Other,1,95,3,Male,3,1,2,Single,2,No,3,1,3,1,1,1,0
32,Other,1,96,2,Male,3,2,2,Married,7,No,3,10,3,10,4,0,0
36,Other,6,97,2,Female,4,1,4,Married,3,No,3,5,3,1,0,0,0
31,Other,8,98,3,Female,3,2,4,Single,5,No,4,11,3,11,7,1,0
35,Sales,1,100,3,Male,2,2,1,Single,5,No,3,16,3,15,13,2,0
45,Other,6,101,4,Male,3,3,1,Married,9,Yes,3,17,4,0,0,0,0
37,Other,7,102,1,Male,3,3,3,Single,9,No,3,16,4,5,2,0,0
46,Human Resources,5,103,2,Male,3,2,2,Divorced,6,Yes,4,16,3,4,2,0,0
30,Other,1,104,4,Male,2,2,4,Married,6,Yes,3,10,2,10,8,3,0
35,Other,1,105,2,Male,2,1,3,Single,3,No,3,6,3,6,4,0,0
55,Sales,1,106,1,Male,3,3,4,Married,9,No,3,24,3,1,0,1,0
38,Other,6,107,2,Female,1,2,4,Divorced,6,Yes,3,17,3,13,11,1,0
34,Other,1,110,1,Male,3,2,2,Married,5,No,3,5,3,5,2,1,0
56,Other,7,112,4,Male,1,3,4,Single,8,No,3,37,2,6,4,0,0
23,Sales,2,113,3,Male,3,1,1,Divorced,2,No,3,3,3,0,0,0,0
51,Other,9,116,4,Male,3,1,4,Married,1,No,4,10,3,4,2,0,0
30,Other,2,117,3,Male,2,2,4,Married,4,No,3,11,3,11,10,10,0
46,Sales,9,118,3,Male,2,3,4,Single,8,No,3,9,3,9,8,4,1
40,Other,1,119,3,Male,2,4,2,Married,9,No,4,22,2,22,3,11,0
51,Sales,21,120,3,Male,3,2,4,Single,6,Yes,4,11,1,10,7,1,0
30,Sales,4,121,3,Female,2,2,2,Divorced,6,Yes,3,11,2,11,8,2,0
46,Other,1,124,3,Male,2,3,1,Married,9,Yes,3,21,2,10,9,9,0
32,Sales,6,125,2,Male,3,2,3,Single,6,No,3,12,3,11,8,5,0
54,Other,2,126,1,Female,3,3,3,Married,9,No,3,16,1,4,3,0,0
24,Sales,3,128,1,Female,3,2,3,Married,6,No,4,4,2,3,2,0,0
28,Sales,4,129,2,Male,3,2,3,Married,4,No,3,5,4,5,4,0,0
58,Sales,10,131,4,Male,3,4,3,Single,10,No,3,38,2,37,10,1,0
44,Other,23,132,2,Male,3,2,2,Married,1,No,3,17,4,3,2,1,0
37,Human Resources,6,133,3,Male,3,1,1,Divorced,1,Yes,4,7,3,3,2,0,1
32,Other,1,134,4,Male,3,1,1,Single,3,No,3,1,3,1,0,0,0
20,Other,6,137,4,Female,2,1,4,Single,3,Yes,3,1,3,1,0,1,1
34,Other,6,138,1,Female,3,2,3,Single,5,No,3,16,3,16,13,2,0
37,Other,2,139,3,Male,2,2,4,Divorced,6,No,3,17,4,1,0,0,0
59,Human Resources,2,140,3,Female,2,5,4,Married,10,No,4,30,3,3,2,2,0
50,Other,1,141,1,Female,3,5,2,Married,10,Yes,3,28,2,8,3,0,0
25,Sales,5,142,3,Male,2,2,3,Single,7,Yes,3,6,3,6,4,0,1
25,Other,7,143,4,Male,2,1,4,Married,3,No,3,2,3,2,2,2,0
22,Other,15,144,2,Female,3,1,4,Single,3,No,3,1,3,0,0,0,0
51,Other,1,145,1,Female,2,3,1,Single,8,No,4,23,2,13,12,12,0
34,Other,7,147,1,Male,1,2,3,Single,7,Yes,4,9,3,9,7,0,1
54,Human Resources,26,148,4,Female,4,4,4,Single,10,Yes,3,23,3,5,3,4,0
24,Other,18,150,2,Male,3,1,3,Married,3,No,3,6,3,5,3,1,0
34,Other,6,151,3,Female,2,2,2,Divorced,5,No,3,12,3,1,0,0,0
37,Sales,3,152,3,Male,3,3,4,Single,8,No,3,12,3,5,3,1,0
34,Other,5,153,3,Female,2,3,1,Single,9,No,3,14,3,11,10,5,0
36,Sales,11,154,2,Female,3,3,4,Married,8,No,3,10,3,9,7,2,0
36,Other,3,155,1,Female,3,1,4,Divorced,3,No,4,7,3,1,0,0,0
43,Sales,26,158,3,Male,3,4,4,Married,10,Yes,3,25,4,25,12,4,0
30,Other,23,159,1,Male,1,1,3,Divorced,2,No,4,10,2,10,7,0,0
33,Sales,22,160,3,Male,3,2,2,Married,7,No,3,8,4,7,7,0,0
56,Other,14,161,2,Female,3,1,2,Married,6,Yes,3,7,3,5,4,4,1
51,Other,6,162,1,Male,3,5,3,Single,10,No,3,23,3,20,18,15,0
31,Sales,6,163,2,Male,1,2,3,Married,7,Yes,3,12,2,7,7,7,1
26,Other,6,164,3,Female,2,1,2,Married,2,No,3,5,2,5,4,4,0
58,Other,23,165,4,Female,3,3,4,Married,9,No,3,40,2,40,10,15,1
19,Sales,22,167,4,Male,3,1,3,Single,1,Yes,3,0,2,0,0,0,1
22,Other,2,169,3,Male,3,1,4,Married,2,No,3,3,3,2,1,2,0
49,Other,20,170,3,Female,3,2,1,Married,7,No,3,16,2,15,11,5,0
43,Other,28,171,2,Female,4,1,3,Single,5,No,3,18,3,3,2,1,0
50,Sales,12,174,3,Female,3,3,4,Single,8,No,3,16,3,2,2,2,0
31,Sales,20,175,2,Female,1,2,3,Married,5,Yes,3,4,3,2,2,2,1
41,Sales,9,176,3,Male,3,3,3,Divorced,8,Yes,3,12,3,9,7,0,0
26,Human Resources,25,177,3,Female,3,1,3,Married,3,No,4,8,3,8,7,5,0
36,Other,6,178,2,Male,3,2,2,Divorced,6,No,4,7,3,3,2,0,0
51,Other,8,179,1,Male,1,3,4,Single,9,No,3,18,3,4,2,0,1
39,Sales,4,182,4,Female,2,2,3,Married,7,No,3,17,4,15,11,5,0
25,Sales,28,183,1,Male,2,2,3,Married,8,No,3,6,3,2,2,2,0
30,Human Resources,9,184,3,Male,3,2,4,Married,7,Yes,3,12,1,11,9,4,0
32,Other,9,190,1,Female,3,1,1,Single,4,No,4,10,4,5,4,0,1
45,Other,29,192,3,Male,3,1,4,Single,4,No,3,9,2,6,5,0,0
38,Other,3,193,4,Female,3,2,3,Single,5,Yes,4,19,3,3,2,2,0
30,Other,18,194,1,Female,3,1,3,Single,2,No,3,5,2,5,4,0,0
32,Sales,9,195,4,Male,1,2,4,Divorced,5,No,3,9,4,8,7,0,0
30,Other,5,197,4,Female,3,1,1,Divorced,3,No,3,8,3,3,2,2,0
30,Other,2,198,2,Male,2,1,4,Single,3,No,3,6,3,5,3,1,0
41,Other,10,199,4,Male,2,4,1,Divorced,10,No,3,21,2,7,6,7,0
41,Other,9,200,3,Male,3,1,1,Married,1,No,4,7,3,5,0,1,0
19,Other,3,201,2,Female,3,1,2,Single,1,No,3,1,3,1,0,0,0
40,Other,26,202,2,Female,3,2,2,Divorced,6,No,3,20,3,20,7,2,0
35,Sales,1,204,3,Male,3,3,2,Married,8,No,3,10,3,10,8,0,0
53,Sales,6,205,2,Male,3,2,3,Married,1,Yes,4,13,1,7,7,4,0
45,Other,9,206,2,Male,3,2,2,Divorced,2,No,3,20,1,17,9,0,0
32,Sales,8,207,2,Female,3,3,4,Single,8,No,3,9,3,9,8,3,0
29,Other,1,208,4,Male,3,2,3,Married,5,No,3,10,3,10,7,0,0
51,Other,7,211,2,Male,2,2,3,Married,7,No,3,10,3,1,0,0,0
58,Other,9,214,2,Female,2,1,2,Married,4,Yes,4,9,2,1,0,0,0
40,Sales,4,215,3,Male,2,3,4,Married,9,No,3,15,2,12,11,2,0
34,Sales,2,216,3,Female,3,1,3,Married,1,No,3,6,3,4,3,1,0
22,Other,19,217,3,Male,3,1,4,Married,2,No,4,2,3,2,2,2,0
27,Other,9,218,4,Male,3,1,2,Divorced,1,No,3,6,1,2,2,2,0
28,Other,21,221,3,Male,3,1,4,Married,3,No,3,5,1,5,2,0,0
57,Other,24,223,3,Male,4,3,4,Divorced,8,Yes,3,12,1,5,3,1,0
27,Other,3,224,3,Male,2,1,3,Divorced,2,Yes,3,1,2,1,1,0,0
50,Other,11,226,3,Female,3,5,2,Single,10,No,3,21,3,5,4,4,0
41,Other,14,227,1,Male,3,1,3,Divorced,2,No,3,13,3,9,8,1,0
30,Sales,5,228,2,Female,3,3,4,Married,8,No,3,12,3,10,9,7,0
38,Sales,1,230,1,Female,2,2,4,Single,8,No,4,12,4,8,3,0,0
32,Other,6,231,3,Male,3,1,3,Single,3,No,4,8,3,5,4,1,0
27,Other,17,233,3,Male,3,1,2,Married,3,Yes,3,6,2,5,2,1,0
19,Sales,1,235,3,Female,1,1,1,Single,2,No,4,1,4,0,0,0,1
36,Other,3,238,4,Male,3,1,2,Single,1,No,3,13,2,8,7,7,0
30,Other,9,239,3,Male,3,2,1,Divorced,3,No,3,12,3,12,9,6,0
45,Sales,4,240,3,Female,3,2,1,Divorced,6,Yes,3,9,4,5,4,0,0
56,Other,8,241,3,Female,3,1,1,Divorced,5,Yes,3,19,3,2,2,2,0
33,Other,2,242,3,Male,3,1,4,Single,2,No,3,4,4,3,1,0,0
19,Other,2,243,2,Male,2,1,4,Single,1,No,4,1,2,1,0,1,1
46,Sales,1,244,2,Female,3,3,1,Divorced,9,No,4,24,3,24,13,15,0
38,Other,9,245,3,Female,3,1,4,Single,1,No,3,2,3,2,2,2,0
31,Other,12,246,3,Female,3,1,4,Married,4,Yes,4,7,3,4,2,0,0
34,Other,27,247,4,Female,3,1,2,Single,1,No,3,9,3,3,2,1,0
41,Sales,20,248,2,Female,3,1,2,Single,3,Yes,4,4,2,4,3,0,1
50,Other,1,249,3,Male,2,1,3,Married,4,No,3,5,2,3,2,0,0
53,Other,13,250,4,Female,4,2,1,Divorced,5,No,3,5,3,4,2,1,0
33,Other,14,252,4,Female,3,1,2,Married,3,No,3,8,3,8,7,1,0
40,Other,4,253,4,Female,3,5,3,Married,10,No,3,21,3,20,8,9,0
55,Other,14,254,3,Male,4,5,2,Single,10,No,3,36,3,24,15,2,0
34,Other,2,256,4,Male,2,2,3,Married,8,No,3,10,2,10,9,1,0
51,Other,3,258,4,Female,3,4,2,Single,9,No,3,21,3,7,7,1,0
52,Other,1,259,3,Male,2,5,3,Married,10,No,3,34,3,33,18,11,0
27,Other,9,260,4,Female,3,1,2,Single,1,No,3,7,2,7,7,0,0
35,Other,23,261,2,Male,2,2,3,Married,7,Yes,3,8,3,1,0,0,1
43,Other,7,262,4,Male,4,1,4,Divorced,1,No,3,7,4,5,4,2,0
45,Other,2,264,1,Male,2,4,4,Married,10,No,4,22,3,20,8,11,0
37,Other,21,267,2,Male,4,1,1,Married,4,Yes,3,8,2,8,7,1,0
35,Other,2,269,2,Female,3,2,2,Single,5,No,3,10,3,6,2,1,0
42,Other,21,270,3,Female,3,2,3,Divorced,6,No,3,11,3,5,3,0,0
38,Other,2,271,4,Male,3,2,3,Married,7,No,3,14,3,1,0,0,0
38,Other,29,273,4,Male,3,2,4,Married,7,No,3,9,1,7,7,1,0
27,Other,1,274,3,Male,2,2,1,Married,5,No,3,6,3,2,2,2,0
49,Other,18,275,4,Male,3,2,4,Divorced,7,Yes,3,7,3,7,7,1,0
34,Other,10,277,4,Male,3,1,3,Divorced,4,Yes,3,5,4,5,3,2,0
40,Other,19,281,3,Male,3,2,4,Married,3,Yes,3,15,4,7,2,3,0
38,Other,29,282,2,Male,3,2,1,Married,7,Yes,3,17,3,1,0,0,1
29,Sales,27,283,2,Female,3,3,4,Married,8,No,4,10,2,10,4,1,1
22,Other,5,284,4,Male,4,1,2,Divorced,2,Yes,3,4,2,4,2,2,0
36,Other,18,286,2,Female,3,1,4,Single,1,No,3,8,3,8,1,1,0
40,Other,9,287,4,Male,2,2,4,Married,5,No,3,5,1,3,2,0,0
46,Other,1,288,4,Male,3,3,1,Divorced,8,No,3,17,3,4,2,0,0
32,Sales,4,291,4,Male,1,3,4,Married,9,No,3,14,2,14,8,9,1
30,Other,1,292,3,Male,2,3,3,Single,8,No,4,12,3,11,8,5,0
27,Sales,20,293,4,Female,3,2,3,Single,9,No,3,7,3,7,7,0,0
51,Other,8,296,2,Male,2,3,2,Married,9,No,3,16,1,10,9,4,0
30,Other,3,297,4,Female,3,1,1,Single,2,Yes,3,8,3,5,2,0,1
41,Sales,6,298,4,Female,3,3,4,Single,9,Yes,3,16,3,1,0,0,0
30,Sales,26,299,3,Female,2,2,1,Single,7,No,3,9,2,6,3,0,1
29,Other,1,300,3,Male,3,1,3,Single,1,No,3,7,2,6,2,1,1
45,Sales,6,302,4,Female,2,3,4,Single,8,No,3,23,3,19,7,12,0
54,Sales,3,303,4,Female,3,2,1,Married,7,No,3,16,3,6,2,0,0
36,Other,5,304,4,Male,3,2,2,Single,7,No,3,16,4,13,11,3,0
33,Other,4,305,3,Female,2,1,2,Married,2,No,4,7,3,3,2,1,0
37,Other,11,306,2,Male,3,3,4,Divorced,9,Yes,3,10,3,10,8,0,0
38,Sales,3,307,1,Male,3,3,3,Divorced,9,No,3,17,2,16,10,5,0
31,Other,1,308,3,Male,1,2,3,Married,5,No,3,6,3,5,4,1,0
59,Other,3,309,3,Male,2,1,4,Married,1,No,3,7,3,1,0,0,0
37,Sales,4,311,1,Male,3,1,4,Divorced,3,No,3,13,3,9,8,5,0
29,Sales,1,312,2,Female,3,3,4,Married,8,No,3,11,3,11,10,4,0
35,Sales,1,314,3,Female,3,3,3,Single,8,No,3,10,4,10,7,0,0
29,Other,18,315,3,Male,2,1,4,Single,2,Yes,3,4,2,4,3,0,1
52,Other,2,316,3,Female,2,1,4,Single,3,No,3,6,2,2,2,2,0
42,Other,4,319,3,Male,3,5,4,Married,10,No,3,22,3,22,17,11,0
59,Human Resources,6,321,2,Male,3,1,3,Married,1,No,3,7,2,2,2,2,0
50,Sales,1,323,4,Female,3,5,4,Divorced,10,No,3,32,2,7,0,0,0
33,Other,14,325,3,Male,3,1,4,Married,2,Yes,3,8,1,5,4,0,1
43,Sales,16,327,4,Female,3,4,4,Married,10,Yes,4,22,3,17,13,1,0
33,Other,2,328,1,Female,3,1,1,Married,3,No,4,13,4,9,7,1,1
52,Sales,2,329,1,Male,2,5,3,Single,10,Yes,3,33,4,33,7,15,0
32,Sales,4,330,3,Female,3,1,2,Married,4,No,3,6,3,4,3,1,0
32,Other,1,331,4,Male,2,1,3,Single,4,Yes,3,4,1,3,2,1,1
39,Other,1,332,3,Female,3,1,3,Divorced,1,No,3,7,3,3,2,1,0
32,Sales,26,333,3,Male,3,2,4,Married,5,No,3,4,3,3,2,2,0
41,Other,19,334,3,Male,3,2,1,Divorced,3,No,3,17,2,1,0,0,0
40,Other,24,335,1,Male,3,2,4,Divorced,4,No,3,9,3,9,8,4,0
45,Other,1,336,3,Male,4,5,4,Married,10,No,3,25,3,24,0,1,0
31,Other,3,337,2,Male,3,3,3,Divorced,9,No,3,9,3,2,2,2,0
33,Other,5,338,3,Female,2,1,4,Married,3,No,3,2,2,2,2,0,0
34,Other,2,339,4,Male,2,2,1,Married,7,No,3,13,3,11,9,5,0
37,Other,1,340,3,Female,2,1,1,Married,4,No,3,17,2,3,1,0,0
45,Other,7,341,1,Male,4,2,3,Married,7,No,3,9,3,3,2,0,0
37,Other,10,342,1,Male,3,3,3,Divorced,9,No,3,17,3,1,0,0,1
39,Other,2,343,3,Female,3,3,3,Single,9,No,4,20,3,19,6,11,0
29,Other,15,346,3,Male,3,1,4,Single,2,No,3,6,3,6,5,1,0
42,Other,17,347,4,Female,4,2,1,Single,7,Yes,3,10,3,3,2,0,0
29,Sales,20,349,4,Male,3,2,4,Divorced,8,No,3,10,3,3,2,0,0
25,Other,1,350,1,Female,3,2,3,Married,5,No,3,5,3,4,2,1,0
42,Other,2,351,4,Female,2,1,1,Divorced,2,Yes,3,10,3,9,6,7,0
40,Other,2,352,1,Male,3,5,3,Divorced,10,No,3,22,3,21,7,3,0
51,Other,1,353,3,Male,3,1,4,Married,3,No,3,1,2,1,0,0,0
31,Other,29,355,3,Male,2,1,2,Single,4,No,3,6,4,5,4,1,1
32,Other,7,359,2,Male,4,1,2,Married,3,No,4,5,1,5,1,0,0
38,Sales,2,361,4,Male,2,2,4,Married,6,No,3,13,3,8,7,7,0
32,Other,2,362,4,Male,2,2,1,Single,1,No,3,9,3,6,2,0,0
46,Sales,2,363,3,Female,1,4,2,Married,10,Yes,3,28,2,7,7,7,0
28,Other,2,364,1,Male,3,1,3,Single,4,No,3,5,1,0,0,0,1
29,Sales,2,366,1,Male,2,2,2,Married,7,No,3,10,3,0,0,0,0
31,Other,23,367,2,Male,2,2,4,Married,6,No,4,10,3,9,0,7,0
25,Other,5,369,2,Male,4,2,1,Divorced,4,No,3,6,3,6,3,1,0
45,Other,20,372,3,Male,3,4,4,Married,9,Yes,3,21,3,20,7,4,0
36,Other,6,373,4,Male,3,1,4,Married,3,No,3,16,3,15,13,10,0
55,Other,1,374,4,Male,3,5,1,Single,10,Yes,3,37,3,36,10,4,0
47,Other,29,376,1,Male,3,3,2,Married,9,Yes,3,10,2,10,7,9,1
28,Other,9,377,4,Male,3,1,4,Married,1,No,4,5,2,5,2,0,0
37,Sales,6,378,3,Male,3,2,4,Married,7,No,3,7,4,5,4,0,0
21,Other,3,379,4,Male,2,1,3,Single,3,No,3,3,4,3,2,1,0
37,Other,1,380,1,Female,3,3,4,Divorced,9,Yes,3,15,3,5,2,0,0
35,Other,22,381,2,Female,4,3,2,Divorced,9,No,3,10,2,7,7,6,0
38,Sales,7,382,1,Female,4,2,1,Divorced,6,Yes,4,8,3,8,0,7,0
26,Other,1,384,3,Female,3,2,2,Divorced,7,No,4,6,1,6,5,1,0
50,Other,4,385,1,Male,3,5,2,Divorced,10,No,3,28,2,10,4,1,0
53,Other,3,386,3,Male,3,4,3,Married,10,Yes,3,21,2,5,3,1,0
42,Sales,1,387,2,Male,3,2,3,Married,5,No,4,20,3,20,16,11,0
29,Sales,2,388,2,Male,3,2,4,Single,5,No,3,10,2,10,7,0,0
55,Other,20,389,2,Male,3,2,4,Married,6,Yes,3,12,3,10,7,0,0
26,Other,11,390,1,Male,3,2,1,Married,5,Yes,3,5,3,5,3,3,0
37,Other,1,391,4,Female,3,1,4,Single,1,No,3,17,3,17,12,5,0
44,Other,24,392,4,Male,3,1,3,Divorced,3,Yes,4,19,1,1,0,0,1
38,Other,23,393,4,Male,3,2,4,Divorced,7,No,3,10,3,2,2,1,0
26,Other,16,394,1,Male,3,1,2,Divorced,2,Yes,3,5,3,3,2,0,1
28,Other,8,395,4,Female,3,1,4,Single,3,No,4,5,3,5,3,0,0
49,Other,10,396,3,Female,3,5,1,Single,10,Yes,3,22,3,3,2,1,0
36,Other,3,397,3,Male,3,2,2,Single,5,No,3,10,3,8,0,7,0
31,Sales,5,399,4,Female,3,1,2,Divorced,3,No,3,2,2,2,2,2,0
26,Sales,4,401,4,Male,2,2,4,Single,7,Yes,3,8,3,8,7,7,1
37,Other,9,403,2,Male,3,1,4,Married,2,Yes,3,4,2,4,2,1,0
42,Sales,26,404,3,Female,3,4,2,Married,9,No,3,23,4,20,4,4,0
18,Other,3,405,3,Male,3,1,3,Single,1,No,3,0,3,0,0,0,1
35,Sales,16,406,3,Male,3,3,2,Married,8,No,3,12,2,11,9,6,0
36,Other,18,407,3,Male,4,1,4,Married,4,No,3,4,3,1,0,0,0
51,Other,2,408,4,Male,1,2,2,Divorced,6,No,3,13,3,4,1,1,0
41,Sales,2,410,4,Male,3,4,2,Single,10,No,3,22,3,22,10,0,0
18,Sales,10,411,4,Female,2,1,3,Single,1,No,3,0,3,0,0,0,0
28,Other,16,412,2,Male,4,2,1,Single,6,No,3,9,3,8,3,0,0
31,Sales,7,416,2,Male,4,2,4,Married,8,No,3,10,2,8,7,7,0
39,Other,1,417,3,Male,4,3,4,Divorced,8,No,3,19,2,18,10,3,0
36,Other,24,419,2,Female,3,2,2,Married,6,No,3,11,3,9,8,0,0
32,Sales,7,420,4,Male,2,2,3,Married,6,No,3,13,2,13,8,4,0
38,Other,25,421,1,Female,2,3,2,Married,9,No,3,19,3,10,8,0,0
58,Other,1,422,4,Male,1,2,3,Divorced,6,Yes,3,12,3,5,3,1,0
31,Other,5,423,3,Male,3,1,4,Married,5,Yes,3,6,3,5,2,0,0
31,Human Resources,2,424,1,Male,2,2,1,Married,7,No,3,9,3,2,2,1,0
45,Other,7,425,1,Male,3,3,1,Divorced,6,No,3,24,3,24,9,9,0
31,Other,2,426,3,Male,3,1,4,Divorced,2,Yes,3,3,1,2,2,2,0
33,Other,5,428,4,Female,3,3,2,Married,9,No,3,12,3,10,6,8,0
39,Other,10,429,3,Male,3,4,1,Married,10,Yes,3,21,3,21,9,11,0
43,Other,10,430,3,Female,3,1,4,Single,2,No,3,9,3,8,7,1,0
49,Other,1,431,3,Female,2,4,3,Single,10,Yes,3,25,3,7,1,0,0
52,Other,8,433,3,Male,2,2,2,Married,6,No,3,11,2,8,2,7,1
27,Other,5,434,3,Female,3,1,2,Single,2,Yes,3,4,2,4,3,1,0
32,Sales,8,436,3,Female,2,2,2,Married,6,Yes,3,13,3,13,12,11,0
27,Sales,2,437,4,Male,3,2,3,Single,5,Yes,3,5,3,5,4,0,0
31,Sales,7,438,4,Male,3,2,4,Divorced,8,No,3,13,3,7,7,1,0
