Age,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Other,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,StagnationScore,TenureRatio,PCA1,PCA2,PCA3,Attrition
35,809,16,3,14,1,84,4,2,2,16479,0,13,3,3,1,6,5,3,5,4,0,3,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,0.0,0.8333333333333334,-1.3019252995447927,-1.016738648326137,-0.6655016462030441,0
29,153,15,2,15,4,49,2,3,4,12682,0,12,3,4,0,10,3,3,9,5,0,8,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,0.0,0.9,-0.07195114479582812,-1.7974817265213956,-0.9704456296760154,0
31,670,26,1,16,1,31,3,3,3,15170,1,17,3,4,1,5,1,2,5,2,4,3,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,0.8,1.0,-0.8088749382745478,-1.8445201061836916,0.07939131841783825,0
34,1346,19,2,18,2,93,3,4,2,8758,0,11,3,3,1,3,2,3,2,2,1,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.5,0.6666666666666666,-1.8409173466199371,-0.9714396603765706,-0.9854909333506376,0
28,103,24,3,19,3,50,2,3,1,12947,5,14,3,2,0,6,4,3,4,2,0,3,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,0.0,0.6666666666666666,-1.927310800836388,-0.4510180019121733,-0.38881350682888344,1
29,1389,21,4,20,2,51,4,1,9,10195,1,11,3,3,1,10,1,3,10,9,8,8,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.8,1.0,2.439121464400084,-1.3431671625302362,-1.1415043475097135,0
32,334,5,2,21,1,80,4,2,3,15053,0,12,3,4,2,7,5,2,6,2,0,5,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,0.0,0.8571428571428571,-1.1907767677475543,-1.2254086246355933,-0.9972357400034881,0
22,1123,16,2,22,4,96,4,4,3,7324,1,13,3,2,2,1,2,2,1,0,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,0.0,1.0,-2.8542664335172043,-1.5614533588242052,-0.7100382133201917,0
53,1219,2,4,23,1,78,2,4,10,22021,2,16,3,3,0,31,3,3,25,8,3,7,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0.12,0.8064516129032258,4.041686525370797,1.192397876500982,0.14727802429501896,0
38,371,2,3,24,4,45,3,4,4,4306,5,11,3,3,0,6,3,3,3,2,1,2,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,0.3333333333333333,0.5,-1.3232876144931915,0.6328267128332238,-1.2333253286189823,0
24,673,11,2,26,1,96,4,3,4,8232,0,18,3,4,1,5,5,2,4,2,1,3,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.25,0.8,-1.6345060131853997,-1.5110689463379707,0.1305715552658823,0
36,1218,9,4,27,3,82,2,1,4,6986,7,23,4,2,0,10,4,3,5,3,0,3,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,0.0,0.5,-1.0675688814446203,1.1271200000534598,3.2792525463159143,1
34,419,7,4,28,1,53,3,2,9,21293,0,11,3,3,0,13,4,3,12,6,2,11,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,0.16666666666666666,0.9230769230769231,1.847296236135011,-0.9193247009778508,-1.0979037544797012,0
21,391,15,2,30,3,96,3,4,1,19281,1,14,3,4,0,0,6,3,0,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,0.0,0.0,-3.6599671821050115,-0.2603529061491701,-0.657430564246856,0
34,699,6,1,31,2,83,3,1,3,17102,2,11,3,3,0,8,2,3,4,2,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,0.25,0.5,-1.463481919155575,-0.18689765670728062,-1.1287131052206747,1
53,1282,5,3,32,3,58,3,3,10,10735,4,11,3,4,1,26,3,2,14,13,4,8,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,0.2857142857142857,0.5384615384615384,3.7413513673457155,1.548056288863924,-0.9469863395509506,0
32,1125,16,1,33,2,72,1,1,4,4681,1,22,4,2,0,10,5,3,10,2,6,7,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,0.6,1.0,0.420735551887701,-2.258946490232278,3.020477859211919,1
42,691,8,4,35,3,48,3,2,7,21173,0,11,3,4,1,10,2,3,9,7,4,2,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0.4444444444444444,0.9,0.9696879318863354,-0.35936710112773806,-1.225291933645776,0
44,477,7,4,36,1,42,2,4,9,2094,3,14,3,4,1,24,4,3,22,6,5,17,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.22727272727272727,0.9166666666666666,4.421501700150026,-0.2907854104537439,-0.3622852585489247,0
46,705,2,4,38,2,83,3,1,10,22822,3,12,3,4,0,22,2,2,2,2,2,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,1.0,0.09090909090909091,0.42782059450386856,3.009412475198606,-1.009994117632634,0
33,924,2,3,39,3,78,3,4,2,6670,4,11,3,4,0,7,3,3,1,1,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,0.0,0.14285714285714285,-2.540488474535877,1.1788031282363367,-1.1398620272761901,0
44,1459,10,4,40,4,41,3,4,7,19121,2,13,3,4,0,9,5,4,4,2,1,3,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,0.25,0.4444444444444444,-0.48793622949024995,1.0872112591453496,-0.790042675465247,0
30,125,9,2,41,4,83,2,3,1,16117,1,13,3,1,0,10,5,3,10,0,1,8,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,0.1,1.0,-0.764204327151035,-1.9793794531498243,-0.7607454407889479,0
39,895,5,3,42,4,56,3,4,1,3335,3,14,3,3,1,19,6,4,1,0,0,0,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,0.0,0.05263157894736842,-2.0461632143924215,1.6045588796283394,-0.5026327357119736,1
24,813,1,3,45,2,61,3,4,1,3020,2,16,3,1,1,6,2,2,2,0,2,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,1.0,0.3333333333333333,-2.313579763473414,-0.4554795292851373,-0.17163178303058907,1
43,1273,2,2,46,4,72,4,3,2,21923,1,12,3,4,2,6,3,2,5,3,1,4,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,0.2,0.8333333333333334,-0.9428305476371369,-0.5351091010718028,-1.0656060785352792,0
50,869,3,2,47,1,86,2,3,2,3810,1,14,3,3,0,3,2,3,3,2,0,2,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,0.0,1.0,-1.5476239058027388,-0.6168627137300253,-0.35058275266063743,1
35,890,2,3,49,4,97,3,4,1,9687,1,13,3,1,0,2,3,3,2,2,2,2,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,1.0,1.0,-1.5194278981806664,-1.584850489907921,-0.9333821853199111,0
36,852,5,4,51,2,82,2,1,4,13072,9,14,3,4,1,6,3,4,1,1,0,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,0.0,0.16666666666666666,-2.1352788039205417,2.5576190106517256,-0.4688367761986156,0
33,1141,1,3,52,3,42,4,1,6,3193,2,19,3,1,2,10,3,3,5,3,1,3,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0.2,0.5,-0.745739622995557,0.17623804633520748,0.4706717905218979,0
35,464,4,2,53,3,75,3,4,1,10910,1,12,3,3,1,1,3,3,1,0,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.0,1.0,-2.7123466041984723,-1.2588743606995447,-0.9922028604177044,0
27,1240,2,4,54,4,33,3,1,2,19715,1,13,3,4,1,1,6,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.0,1.0,-2.6456837587826687,-1.1428321143110518,-1.01928595576403,0
26,1357,25,3,55,1,48,1,3,1,10558,1,12,3,3,0,1,2,2,1,0,0,1,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,0.0,1.0,-2.768880629179106,-1.5501530023730516,-0.5860622931328219,1
27,994,8,3,56,4,37,3,3,8,2975,1,15,3,4,0,9,0,3,9,8,1,7,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,0.1111111111111111,1.0,0.7662284509006826,-1.3776878160849528,-0.41203550698539276,0
30,721,1,2,57,3,58,3,4,4,10781,1,23,4,4,0,12,2,3,12,8,3,7,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,0.25,1.0,0.8896860983955409,-2.0037641490595033,2.979003126854345,0
41,1360,12,3,58,2,49,3,3,10,16280,1,12,3,4,0,23,0,3,22,15,15,8,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0.6818181818181818,0.9565217391304348,5.6608719367646865,-1.0196198553784452,-0.9027752477420627,1
34,1065,23,4,60,2,72,3,3,5,10034,0,20,4,3,0,10,2,3,9,5,8,7,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,0.8888888888888888,0.9,1.4058107359892542,-1.578313254087052,2.53519223546943,0
37,408,19,2,61,2,73,3,2,3,10227,4,21,4,1,0,8,1,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,0.0,0.125,-2.4684839977842783,1.1387490318969535,3.0390924677039797,0
46,1211,5,4,62,1,98,3,4,7,20445,4,21,4,3,0,14,4,3,9,6,0,8,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,0.0,0.6428571428571429,0.9379628332202241,0.940558964619824,2.945370027504626,0
35,1229,8,1,63,4,36,4,4,1,4892,1,19,3,4,0,1,2,3,1,0,0,1,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,0.0,1.0,-2.692681294625508,-1.4813707737912765,0.27506233989420104,0
48,626,1,2,64,1,98,2,3,6,19294,9,13,3,4,0,23,2,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,0.0,0.043478260869565216,-1.1301731340385799,3.956989084032235,-0.4840349208785189,1
28,1434,5,4,65,3,50,3,3,4,11179,1,13,3,3,0,2,3,2,2,2,2,2,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,1.0,1.0,-1.2554477385546583,-1.3502546471453694,-0.9534144757527828,1
44,1488,1,5,68,2,75,3,1,6,4009,5,21,4,3,1,9,2,2,4,3,1,3,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,0.25,0.4444444444444444,-0.45918279185709154,1.6986116064961143,2.8521525607304903,0
35,1097,11,2,70,3,79,2,1,9,8302,2,13,3,3,1,10,3,3,4,0,2,3,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,0.5,0.4,-0.6178375258215758,0.6889004718432322,-0.6832168525743858,0
26,1443,23,3,72,3,47,2,4,4,21436,7,19,3,3,1,5,2,2,2,2,0,0,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.4,-2.296380565274731,0.9825522503243103,0.6975966714114908,0
33,515,1,2,73,1,98,3,4,9,15146,1,12,3,3,0,15,1,3,15,14,8,12,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,0.5333333333333333,1.0,3.8045455423609367,-1.831175581764552,-0.9258177630038527,0
35,853,18,5,74,2,71,3,1,8,11031,1,22,4,4,1,9,3,2,9,8,1,8,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0.1111111111111111,1.0,1.198561530503911,-0.8202123050157352,2.997550522742233,0
35,1142,23,4,75,3,30,3,1,4,16002,3,15,3,3,1,4,3,3,2,2,2,2,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,1.0,0.5,-1.078036095055117,0.22348673001190594,-0.3992983473127368,0
31,655,7,4,76,4,48,3,4,7,9528,3,22,4,4,1,10,3,2,7,7,1,7,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.14285714285714285,0.7,0.4740367422830664,-0.3607560877775664,2.861507242453699,0
37,1115,1,4,77,1,51,2,3,7,2689,1,18,3,3,1,7,2,4,7,5,0,7,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.0,1.0,0.23338158942089107,-0.7783850377247129,0.41173415164852517,0
32,427,1,3,78,1,33,3,4,7,10877,1,22,4,2,1,9,3,3,9,8,7,8,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,0.7777777777777778,1.0,1.788491067014062,-1.9944956835189984,2.880380825939983,0
38,653,29,5,79,4,50,3,4,2,5456,1,11,3,4,0,10,2,3,10,3,9,9,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,0.9,1.0,1.5533341926466413,-1.4962273585189105,-1.2582553028354826,0
50,989,7,2,80,2,43,2,3,10,16701,5,12,3,4,1,29,2,2,27,3,13,8,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,0.48148148148148145,0.9310344827586207,4.8364828406361795,0.6630303752150327,-0.8289079639465842,0
59,1435,25,3,81,1,99,3,1,8,2354,7,11,3,4,0,28,3,2,21,16,7,9,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,0.3333333333333333,0.75,5.14406469402751,1.4909243377563617,-0.7368165701230174,0
36,1223,8,3,83,3,59,3,3,9,8202,1,13,3,2,3,17,2,3,17,14,12,8,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0.7058823529411765,1.0,4.358157934273874,-1.5767245376182648,-0.6727805325569906,0
55,836,8,3,84,4,33,3,3,10,19730,2,14,3,3,3,21,2,3,5,0,0,2,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,0.0,0.23809523809523808,0.18226124401159158,2.825354384427435,-0.31357711558490164,0
36,1195,11,3,85,2,95,2,2,7,22656,1,13,3,3,0,6,3,3,6,5,0,3,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,0.0,1.0,-0.4724735237919435,-0.6137350457650955,-0.6087813976731117,0
45,1339,7,3,86,2,59,3,1,8,18787,2,17,3,3,1,25,2,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,0.0,0.04,-0.7987953776233124,2.9931103046999814,0.2947359891285076,0
35,664,1,3,88,2,79,3,1,1,5868,4,13,3,4,1,5,2,2,3,2,1,2,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,0.3333333333333333,0.6,-1.760076640931048,0.13673269000968497,-0.8255236988962918,0
36,318,9,3,90,4,79,2,3,4,21777,0,17,3,1,1,2,0,2,1,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,0.0,0.5,-2.4427493748762448,-0.023057153643980453,0.19083096010837738,1
59,1225,1,1,91,1,57,2,3,6,24668,7,11,3,4,0,20,2,2,4,3,1,3,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,0.25,0.2,0.11275687127128374,3.129616357119741,-0.822146824246698,0
29,1328,2,3,94,3,76,3,2,3,4956,0,23,4,4,1,6,3,3,5,4,0,4,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,0.0,0.8333333333333334,-1.2577317599270128,-1.389783203866859,3.0357625980198906,0
31,1082,1,4,95,3,87,3,2,2,18775,1,17,3,2,0,1,4,3,1,1,1,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,1.0,1.0,-2.00740140527221,-1.2384742737705607,-0.25389846465071486,0
32,548,1,3,96,2,66,3,2,7,7346,1,17,3,2,2,10,3,3,10,4,0,9,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,0.0,1.0,0.4958833106116195,-1.1627293734611819,0.10948564435097,0
36,132,6,3,97,2,55,4,4,3,22002,3,12,3,2,0,5,3,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,0.0,0.2,-2.526411155693399,1.025593680431757,-0.8973268083007858,0
31,746,8,4,98,3,61,3,4,5,20682,1,23,4,4,0,11,2,3,11,7,1,8,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,0.09090909090909091,1.0,0.7742465373180499,-1.3702891717472994,3.0487800578707347,0
35,776,1,4,100,3,32,2,1,5,23016,0,14,3,2,0,16,2,3,15,13,2,8,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,0.13333333333333333,0.9375,2.2270380631977704,-1.368192197867784,-0.48295648064812763,0
45,193,6,4,101,4,52,3,1,9,15067,4,14,3,2,0,17,3,4,0,0,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,0.0,0.0,-1.0551704844273453,3.109207242700595,-0.4983475460461127,0
37,397,7,4,102,1,30,3,3,9,25258,4,13,3,1,0,16,3,4,5,2,0,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,0.0,0.3125,-0.4059983145300318,1.881746648703831,-0.48449870748353935,0
46,945,5,2,103,2,80,3,2,6,10425,8,22,4,4,1,16,2,3,4,2,0,2,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.0,0.25,-0.7678428519759457,2.6052429965764805,3.086112204912806,0
30,852,1,1,104,4,55,2,4,6,15998,1,12,3,3,2,10,1,2,10,8,3,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,0.3,1.0,0.11396618624716547,-1.4783560577925332,-0.927596017086177,0
35,1214,1,3,105,2,30,2,3,3,26278,1,18,3,1,0,6,3,3,6,4,0,4,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,0.0,1.0,-0.970447556577083,-1.234449454750131,0.393335321556829,0
55,111,1,2,106,1,70,3,4,9,18092,3,14,3,4,1,24,4,3,1,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1.0,0.041666666666666664,-0.021177402780808853,3.0768477777319014,-0.5349356245617615,0
38,573,6,3,107,2,79,1,4,6,15717,7,12,3,4,3,17,3,3,13,11,1,9,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,0.07692307692307693,0.7647058823529411,1.9946006388890059,0.4422427464805382,-0.6588107995285244,0
34,1153,1,2,110,1,94,3,2,5,17736,1,15,3,3,0,5,2,3,5,2,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0.2,1.0,-1.108186950431818,-0.9550841278457668,-0.3555526559762899,0
56,1400,7,3,112,4,49,1,4,8,21698,4,11,3,1,0,37,3,2,6,4,0,2,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,0.0,0.16216216216216217,1.1131104450798115,3.4911489097997643,-0.5923683729327042,0
23,541,2,1,113,3,62,3,1,2,9518,3,13,3,3,1,3,3,3,0,0,0,0,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,0.0,0.0,-3.3503861962325967,0.31720259367022213,-0.8032150272277122,0
51,432,9,4,116,4,96,3,4,1,18725,3,23,4,2,2,10,4,3,4,2,0,3,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,0.0,0.4,-1.2050567029247294,1.0700901145241952,3.236536244988587,0
30,288,2,3,117,3,99,2,4,4,15830,1,19,3,1,3,11,3,3,11,10,10,8,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.9090909090909091,1.0,2.2495533255753437,-2.3417988244881376,0.3618409810242549,0
