Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
36,Travel_Frequently,1195,Other,11,3,Life Sciences,85,2,Male,95,2,Manufacturing Director,2,Single,7,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,0
45,Travel_Rarely,1339,Other,7,3,Life Sciences,86,2,Male,59,3,Research Scientist,1,Divorced,8,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,0
35,Travel_Frequently,664,Other,1,3,Medical,88,2,Male,79,3,Research Scientist,1,Married,1,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,0
36,Travel_Rarely,318,Other,9,3,Medical,90,4,Male,79,2,Research Scientist,3,Married,4,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,1
59,Travel_Frequently,1225,Sales,1,1,Life Sciences,91,1,Female,57,2,Sales Executive,3,Single,6,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,0
29,Travel_Rarely,1328,Other,2,3,Life Sciences,94,3,Male,76,3,Research Scientist,2,Married,3,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,0
31,Travel_Rarely,1082,Other,1,4,Medical,95,3,Male,87,3,Research Scientist,2,Single,2,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,0
32,Travel_Rarely,548,Other,1,3,Life Sciences,96,2,Male,66,3,Research Scientist,2,Married,7,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,0
36,Travel_Rarely,132,Other,6,3,Life Sciences,97,2,Female,55,4,Laboratory Technician,4,Married,3,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,0
31,Travel_Rarely,746,Other,8,4,Life Sciences,98,3,Female,61,3,Manufacturing Director,4,Single,5,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,0
35,Travel_Rarely,776,Sales,1,4,Marketing,100,3,Male,32,2,Sales Executive,1,Single,5,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,0
45,Travel_Rarely,193,Other,6,4,Other,101,4,Male,52,3,Research Director,1,Married,9,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,0
37,Travel_Rarely,397,Other,7,4,Medical,102,1,Male,30,3,Research Director,3,Single,9,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,0
46,Travel_Rarely,945,Human Resources,5,2,Medical,103,2,Male,80,3,Human Resources,2,Divorced,6,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,0
30,Travel_Rarely,852,Other,1,1,Life Sciences,104,4,Male,55,2,Laboratory Technician,4,Married,6,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,0
35,Travel_Rarely,1214,Other,1,3,Medical,105,2,Male,30,2,Research Scientist,3,Single,3,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,0
55,Travel_Rarely,111,Sales,1,2,Life Sciences,106,1,Male,70,3,Sales Executive,4,Married,9,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,0
38,Non-Travel,573,Other,6,3,Medical,107,2,Female,79,1,Research Scientist,4,Divorced,6,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,0
34,Travel_Rarely,1153,Other,1,2,Medical,110,1,Male,94,3,Manufacturing Director,2,Married,5,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,0
56,Travel_Rarely,1400,Other,7,3,Life Sciences,112,4,Male,49,1,Manufacturing Director,4,Single,8,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,0
23,Travel_Rarely,541,Sales,2,1,Technical Degree,113,3,Male,62,3,Sales Representative,1,Divorced,2,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,0
51,Travel_Rarely,432,Other,9,4,Life Sciences,116,4,Male,96,3,Laboratory Technician,4,Married,1,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,0
30,Travel_Rarely,288,Other,2,3,Life Sciences,117,3,Male,99,2,Healthcare Representative,4,Married,4,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,0
46,Travel_Rarely,669,Sales,9,2,Medical,118,3,Male,64,2,Sales Executive,4,Single,8,13596,1,No,16,3,4,0,9,3,3,9,8,4,7,1
40,Travel_Frequently,530,Other,1,4,Life Sciences,119,3,Male,78,2,Healthcare Representative,2,Married,9,14115,1,No,22,4,4,1,22,3,2,22,3,11,11,0
51,Travel_Rarely,632,Sales,21,4,Marketing,120,3,Male,71,3,Sales Executive,4,Single,6,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0,0
30,Travel_Rarely,1334,Sales,4,2,Medical,121,3,Female,63,2,Sales Executive,2,Divorced,6,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7,0
46,Travel_Frequently,638,Other,1,3,Medical,124,3,Male,40,2,Healthcare Representative,1,Married,9,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5,0
32,Travel_Rarely,1093,Sales,6,4,Medical,125,2,Male,87,3,Sales Executive,3,Single,6,24301,1,No,16,3,1,0,12,0,3,11,8,5,7,0
54,Travel_Rarely,1217,Other,2,4,Technical Degree,126,1,Female,60,3,Research Director,3,Married,9,24001,9,No,12,3,1,1,16,5,1,4,3,0,3,0
24,Travel_Rarely,1353,Sales,3,2,Other,128,1,Female,33,3,Sales Executive,3,Married,6,17519,0,No,21,4,1,1,4,2,2,3,2,0,2,0
28,Non-Travel,120,Sales,4,3,Medical,129,2,Male,43,3,Sales Executive,3,Married,4,8863,1,No,15,3,2,0,5,3,4,5,4,0,4,0
58,Travel_Rarely,682,Sales,10,4,Medical,131,4,Male,37,3,Sales Executive,3,Single,10,24409,0,No,13,3,3,0,38,1,2,37,10,1,8,0
44,Non-Travel,489,Other,23,3,Medical,132,2,Male,67,3,Laboratory Technician,2,Married,1,25043,4,No,12,3,3,1,17,3,4,3,2,1,2,0
37,Travel_Rarely,807,Human Resources,6,4,Human Resources,133,3,Male,63,3,Human Resources,1,Divorced,1,23648,4,Yes,22,4,4,0,7,3,3,3,2,0,2,1
32,Travel_Rarely,827,Other,1,1,Life Sciences,134,4,Male,71,3,Research Scientist,1,Single,3,15178,1,No,13,3,4,0,1,2,3,1,0,0,0,0
20,Travel_Frequently,871,Other,6,3,Life Sciences,137,4,Female,66,2,Laboratory Technician,4,Single,3,19783,1,Yes,18,3,2,0,1,5,3,1,0,1,0,1
34,Travel_Rarely,665,Other,6,4,Other,138,1,Female,41,3,Research Scientist,3,Single,5,12482,1,No,14,3,3,0,16,3,3,16,13,2,10,0
37,Non-Travel,1040,Other,2,2,Life Sciences,139,3,Male,100,2,Healthcare Representative,4,Divorced,6,15850,5,No,14,3,4,1,17,2,4,1,0,0,0,0
59,Non-Travel,1420,Human Resources,2,4,Human Resources,140,3,Female,32,2,Manager,4,Married,10,21922,9,No,21,4,4,1,30,3,3,3,2,2,2,0
50,Travel_Frequently,1115,Other,1,3,Life Sciences,141,1,Female,73,3,Research Director,2,Married,10,9755,3,Yes,19,3,1,0,28,1,2,8,3,0,7,0
25,Travel_Rarely,240,Sales,5,3,Marketing,142,3,Male,46,2,Sales Executive,3,Single,7,26959,1,Yes,11,3,4,0,6,1,3,6,4,0,3,1
25,Travel_Rarely,1280,Other,7,1,Medical,143,4,Male,64,2,Research Scientist,4,Married,3,26897,1,No,11,3,3,2,2,2,3,2,2,2,1,0
22,Travel_Rarely,534,Other,15,3,Medical,144,2,Female,59,3,Laboratory Technician,4,Single,3,23785,1,No,15,3,3,0,1,5,3,0,0,0,0,0
51,Travel_Frequently,1456,Other,1,4,Medical,145,1,Female,30,2,Healthcare Representative,1,Single,8,25796,3,No,20,4,3,0,23,1,2,13,12,12,8,0
34,Travel_Frequently,658,Other,7,3,Life Sciences,147,1,Male,66,1,Laboratory Technician,3,Single,7,22887,1,Yes,24,4,4,0,9,3,3,9,7,0,6,1
54,Non-Travel,142,Human Resources,26,3,Human Resources,148,4,Female,30,4,Manager,4,Single,10,13871,2,Yes,12,3,3,0,23,3,3,5,3,4,4,0
24,Travel_Rarely,1127,Other,18,1,Life Sciences,150,2,Male,52,3,Laboratory Technician,3,Married,3,13257,0,No,12,3,3,1,6,2,3,5,3,1,2,0
34,Travel_Rarely,1031,Other,6,4,Life Sciences,151,3,Female,45,2,Research Scientist,2,Divorced,5,15000,6,No,15,3,3,1,12,3,3,1,0,0,0,0
37,Travel_Rarely,1189,Sales,3,3,Life Sciences,152,3,Male,87,3,Sales Executive,4,Single,8,14506,2,No,12,3,1,0,12,3,3,5,3,1,3,0
34,Travel_Rarely,1354,Other,5,3,Medical,153,3,Female,45,2,Manager,1,Single,9,5615,2,No,12,3,4,0,14,6,3,11,10,5,8,0
36,Travel_Frequently,1467,Sales,11,2,Technical Degree,154,2,Female,92,3,Sales Executive,4,Married,8,22952,0,No,14,3,3,1,10,6,3,9,7,2,8,0
36,Travel_Rarely,922,Other,3,2,Life Sciences,155,1,Female,39,3,Laboratory Technician,4,Divorced,3,2561,5,No,22,4,1,1,7,2,3,1,0,0,0,0
43,Travel_Frequently,394,Sales,26,2,Life Sciences,158,3,Male,92,3,Manager,4,Married,10,19494,1,Yes,12,3,4,2,25,3,4,25,12,4,12,0
30,Travel_Frequently,1312,Other,23,3,Life Sciences,159,1,Male,96,1,Research Scientist,3,Divorced,2,22310,1,No,25,4,3,3,10,2,2,10,7,0,9,0
33,Non-Travel,750,Sales,22,2,Marketing,160,3,Male,95,3,Sales Executive,2,Married,7,15480,0,No,13,3,1,1,8,2,4,7,7,0,7,0
56,Travel_Rarely,441,Other,14,4,Life Sciences,161,2,Female,72,3,Research Scientist,2,Married,6,4510,9,Yes,18,3,1,3,7,2,3,5,4,4,3,1
51,Travel_Rarely,684,Other,6,3,Life Sciences,162,1,Male,51,3,Research Director,3,Single,10,6462,7,No,13,3,3,0,23,5,3,20,18,15,15,0
31,Travel_Rarely,249,Sales,6,4,Life Sciences,163,2,Male,76,1,Sales Executive,3,Married,7,20739,4,Yes,18,3,2,0,12,3,2,7,7,7,7,1
26,Travel_Rarely,841,Other,6,3,Other,164,3,Female,46,2,Research Scientist,2,Married,2,23300,1,No,19,3,3,0,5,3,2,5,4,4,3,0
58,Travel_Rarely,147,Other,23,4,Medical,165,4,Female,94,3,Healthcare Representative,4,Married,9,3465,1,No,12,3,4,1,40,3,2,40,10,15,6,1
19,Travel_Rarely,528,Sales,22,1,Marketing,167,4,Male,50,3,Sales Representative,3,Single,1,26820,1,Yes,19,3,4,0,0,2,2,0,0,0,0,1
22,Travel_Rarely,594,Other,2,1,Technical Degree,169,3,Male,100,3,Laboratory Technician,4,Married,2,19299,0,No,14,3,3,1,3,2,3,2,1,2,1,0
49,Travel_Rarely,470,Other,20,4,Medical,170,3,Female,96,3,Manufacturing Director,1,Married,7,5549,1,No,14,3,3,0,16,2,2,15,11,5,11,0
43,Travel_Frequently,957,Other,28,3,Medical,171,2,Female,72,4,Research Scientist,3,Single,5,16090,4,No,12,3,4,0,18,2,3,3,2,1,2,0
50,Travel_Frequently,809,Sales,12,3,Marketing,174,3,Female,77,3,Sales Executive,4,Single,8,6645,4,No,11,3,4,0,16,3,3,2,2,2,1,0
31,Travel_Rarely,542,Sales,20,3,Life Sciences,175,2,Female,71,1,Sales Executive,3,Married,5,24788,3,Yes,11,3,3,1,4,2,3,2,2,2,2,1
41,Travel_Rarely,802,Sales,9,1,Life Sciences,176,3,Male,96,3,Sales Executive,3,Divorced,8,21196,3,Yes,13,3,3,1,12,2,3,9,7,0,7,0
26,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,177,3,Female,61,3,Human Resources,3,Married,3,8916,1,No,23,4,4,1,8,3,3,8,7,5,7,0
36,Travel_Rarely,216,Other,6,2,Medical,178,2,Male,84,3,Manufacturing Director,2,Divorced,6,2819,6,No,20,4,4,2,7,0,3,3,2,0,1,0
51,Travel_Frequently,1150,Other,8,4,Life Sciences,179,1,Male,53,1,Manufacturing Director,4,Single,9,25150,2,No,15,3,4,0,18,2,3,4,2,0,3,1
39,Travel_Rarely,1329,Sales,4,4,Life Sciences,182,4,Female,47,2,Sales Executive,3,Married,7,14590,4,No,14,3,3,1,17,1,4,15,11,5,9,0
25,Travel_Rarely,959,Sales,28,3,Life Sciences,183,1,Male,41,2,Sales Executive,3,Married,8,24835,2,No,18,3,4,0,6,3,3,2,2,2,2,0
30,Travel_Rarely,1240,Human Resources,9,3,Human Resources,184,3,Male,48,3,Human Resources,4,Married,7,13982,0,Yes,19,3,4,0,12,2,1,11,9,4,7,0
32,Travel_Rarely,1033,Other,9,3,Medical,190,1,Female,41,3,Laboratory Technician,1,Single,4,10224,7,No,22,4,1,0,10,2,4,5,4,0,4,1
45,Travel_Rarely,1316,Other,29,3,Medical,192,3,Male,83,3,Research Scientist,4,Single,4,9752,5,No,13,3,2,0,9,2,2,6,5,0,3,0
38,Travel_Rarely,364,Other,3,5,Technical Degree,193,4,Female,32,3,Research Scientist,3,Single,5,2302,3,Yes,20,4,2,0,19,2,3,3,2,2,2,0
30,Travel_Rarely,438,Other,18,3,Life Sciences,194,1,Female,75,3,Research Scientist,3,Single,2,23910,1,No,14,3,3,0,5,4,2,5,4,0,4,0
32,Travel_Frequently,689,Sales,9,2,Medical,195,4,Male,35,1,Sales Executive,4,Divorced,5,22812,0,No,17,3,4,3,9,2,4,8,7,0,7,0
30,Travel_Rarely,201,Other,5,3,Technical Degree,197,4,Female,84,3,Research Scientist,1,Divorced,3,10415,5,No,14,3,4,1,8,3,3,3,2,2,2,0
30,Travel_Rarely,1427,Other,2,1,Medical,198,2,Male,35,2,Laboratory Technician,4,Single,3,11162,0,No,13,3,4,0,6,3,3,5,3,1,2,0
41,Travel_Frequently,857,Other,10,3,Life Sciences,199,4,Male,91,2,Manager,1,Divorced,10,12888,4,No,13,3,2,1,21,2,2,7,6,7,7,0
41,Travel_Rarely,933,Other,9,4,Life Sciences,200,3,Male,94,3,Laboratory Technician,1,Married,1,6961,2,No,21,4,4,1,7,2,3,5,0,1,4,0
19,Travel_Rarely,1181,Other,3,1,Medical,201,2,Female,79,3,Laboratory Technician,2,Single,1,16102,1,No,14,3,4,0,1,3,3,1,0,0,0,0
40,Travel_Frequently,1395,Other,26,3,Medical,202,2,Female,54,3,Research Scientist,2,Divorced,6,8504,1,No,11,3,1,1,20,2,3,20,7,2,13,0
35,Travel_Rarely,662,Sales,1,5,Marketing,204,3,Male,94,3,Sales Executive,2,Married,8,11439,1,No,13,3,1,2,10,3,3,10,8,0,6,0
53,Travel_Rarely,1436,Sales,6,2,Marketing,205,2,Male,34,3,Sales Representative,3,Married,1,16047,2,Yes,20,4,4,1,13,3,1,7,7,4,5,0
45,Travel_Rarely,194,Other,9,3,Life Sciences,206,2,Male,60,3,Laboratory Technician,2,Divorced,2,10901,8,No,18,3,3,1,20,2,1,17,9,0,15,0
32,Travel_Frequently,967,Sales,8,3,Marketing,207,2,Female,43,3,Sales Executive,4,Single,8,15589,1,No,14,3,4,0,9,2,3,9,8,3,7,0
29,Non-Travel,1496,Other,1,1,Technical Degree,208,4,Male,41,3,Manufacturing Director,3,Married,5,26283,1,No,13,3,1,1,10,1,3,10,7,0,9,0
51,Travel_Rarely,1169,Other,7,4,Medical,211,2,Male,34,2,Manufacturing Director,3,Married,7,13983,2,No,17,3,3,0,10,2,3,1,0,0,0,0
58,Travel_Rarely,1145,Other,9,3,Medical,214,2,Female,75,2,Research Scientist,2,Married,4,11873,4,Yes,20,4,2,1,9,3,2,1,0,0,0,0
40,Travel_Rarely,630,Sales,4,4,Marketing,215,3,Male,67,2,Sales Executive,4,Married,9,8552,7,No,11,3,1,1,15,2,2,12,11,2,11,0
34,Travel_Frequently,303,Sales,2,4,Marketing,216,3,Female,75,3,Sales Representative,3,Married,1,11314,6,No,18,3,4,1,6,3,3,4,3,1,2,0
22,Travel_Rarely,1256,Other,19,1,Medical,217,3,Male,80,3,Research Scientist,4,Married,2,11992,1,No,24,4,1,2,2,6,3,2,2,2,2,0
